Date,Open,High,Low,Close,Volume
2024-02-26,381.80120115188663,386.6927183645428,379.6239623126292,380.9908447265625,1797800
2024-02-27,382.9826122926319,386.53650663932603,380.1218874959817,381.56689453125,1724900
2024-02-28,380.7114622807057,386.67990503461596,380.5246389979542,386.6012268066406,2572900
2024-02-29,388.60712006313065,389.3544132297901,379.2169241180848,382.54034423828125,3139100
2024-03-01,383.11063019363974,384.49704136525503,378.80391251307964,381.6062316894531,1697700
2024-03-04,382.30435443205147,389.93452223242184,379.73803985379567,385.6867980957031,1955100
2024-03-05,384.1823783861734,390.83909028419464,383.7792350058394,384.36920166015625,2697800
2024-03-06,388.39080352169884,388.6759596021808,378.0861455776578,383.0516662597656,2692400
2024-03-07,385.3426657492606,387.90901045027175,380.58365293959963,381.93072509765625,2033100
2024-03-08,382.22570742327576,389.0004070454397,380.239487238264,380.5148010253906,1657200
2024-03-11,379.2169083279676,379.9445169029214,375.03802014822617,379.6986999511719,1654200
2024-03-12,381.1342784115776,382.61902246416946,377.35853347638005,381.6849060058594,1703900
2024-03-13,382.4027143056116,388.6366290557279,381.68491795165784,385.7458190917969,2370600
2024-03-14,387.8303224982867,389.7477067671604,379.00059660042274,382.1076965332031,3029500
2024-03-15,382.3633683871598,384.58556335571694,379.9346955696959,380.73114013671875,3763500
2024-03-18,382.1470140190369,382.52066057393205,376.9947004901483,377.9386291503906,2069000
2024-03-19,377.6436949831189,384.2414139355956,377.28970294916127,382.1568908691406,1858200
2024-03-20,379.8953286867645,389.8656784740272,379.5413666859382,389.836181640625,2157400
2024-03-21,393.08096397193844,407.0925303489447,392.41234905877445,406.7877197265625,4613800
2024-03-22,407.46615696496457,409.78668450053027,398.99039360784803,400.01300048828125,2189600
2024-03-25,400.06218951478314,403.5921175323872,397.10254365308725,398.16448974609375,1683900
2024-03-26,399.29520701088035,402.4809849985547,397.7514694029957,399.3836975097656,1407000
2024-03-27,402.7661686833636,408.53794611542787,401.537083880728,408.3019714355469,2353600
2024-03-28,409.2458941699057,412.1858853794913,408.0364939462701,410.7011413574219,2409700
2024-04-01,409.70800647459913,410.95677574473086,405.1063205208365,406.591064453125,1863900
2024-04-02,403.867416896468,406.25678051684633,400.7996260831384,403.28729248046875,1976000
2024-04-03,404.12304223102075,409.65884442327786,404.12304223102075,407.0728454589844,1549200
2024-04-04,411.00594185697116,411.98920966045677,398.9117598768794,399.4525451660156,1704700
2024-04-05,399.75738238057517,402.2942302862387,394.7525525286943,401.24212646484375,1694500
2024-04-08,402.2548683158544,405.6274697129114,400.7307852014718,403.6707763671875,1181900
2024-04-09,404.6245534089679,406.3059329925125,400.23915729209574,403.8379211425781,1247800
2024-04-10,397.25003318945784,398.66594122097763,390.6424723780161,394.0544128417969,1903300
2024-04-11,393.77908798284346,394.7525134745278,388.2334433475425,390.82928466796875,2176200
2024-04-12,386.2669145193789,387.49599925527707,380.64262156763044,382.97296142578125,2814900
2024-04-15,400.1900188154174,405.96179634955416,392.01906530355075,394.17242431640625,6177000
2024-04-16,397.6826638324664,398.1939522732609,388.56775234847464,390.2196350097656,3459700
2024-04-17,395.66695889247734,400.307984134254,394.46737096960845,397.1517028808594,4373800
2024-04-18,398.7052640309379,401.0356039942107,395.67681230812934,396.3650817871094,2776300
2024-04-19,397.29919752674544,401.1732751827429,396.2667783066299,397.2402038574219,2805100
2024-04-22,400.13099991622715,410.9862848026014,397.8006600372585,410.3668212890625,4165600
2024-04-23,410.72081528332103,418.2329962446908,409.2361011981771,416.90557861328125,2662300
2024-04-24,414.4473985143024,417.47585028733795,412.58900787563374,415.9616394042969,1575900
2024-04-25,413.94591111687555,416.52206801149,407.90866228852036,413.0216369628906,1970100
2024-04-26,413.19862026744073,421.3597306465918,412.6184958917279,420.4158020019531,2322700
2024-04-29,420.4158452772303,426.0794477349927,420.05204097085647,423.60162353515625,2453000
2024-04-30,421.33024817640825,424.1719064939336,418.87207870046655,419.5701904296875,1829900
2024-05-01,419.5505236410615,426.1777387527068,418.0756219985089,419.8061828613281,2310100
2024-05-02,423.9851116757565,426.3940999197262,421.00581127118977,425.3321838378906,2087500
2024-05-03,427.7214822776151,434.89932503489575,427.6428340586455,430.8482666015625,2406300
2024-05-06,434.3585724869669,436.94457173208787,432.3232008369721,436.2464599609375,1914300
2024-05-07,437.7213697623932,439.93372246418915,435.4598356630516,436.374267578125,2058200
2024-05-08,435.3910024535166,440.5236619542958,434.65355154827216,439.4715881347656,2006700
2024-05-09,438.8717692094744,448.79293822963746,438.8717692094744,447.9375,2710200
2024-05-10,448.8814267671291,451.07412486872164,446.7182555076255,447.12139892578125,1823900
2024-05-13,448.6355946393097,449.55005651150753,445.7349725925171,445.970947265625,1579600
2024-05-14,447.22953062785086,454.04356940323964,446.41343154217145,450.7987976074219,2412900
