Date,Open,High,Low,Close,Volume
2024-02-26,53.88613487052729,54.713952164950804,53.749785127132846,53.83743667602539,3677700
2024-02-27,53.85691527573887,54.1393484575277,53.73030665715239,54.10039138793945,2530300
2024-02-28,54.0906565382795,54.64578180315938,53.934831967701825,54.188045501708984,3186500
2024-02-29,54.43152297960917,54.7821292009192,54.17830943930243,54.626304626464844,7158700
2024-03-01,54.48021571736991,54.733432964716236,53.827701493728945,54.041961669921875,2833500
2024-03-04,53.72057140563248,54.7431703749292,53.72057140563248,54.041961669921875,3890200
2024-03-05,53.95431124084677,54.889258677091334,53.89587563289991,54.431522369384766,3945400
2024-03-06,54.363347482002176,54.48021497872711,53.56474610993878,54.32439041137695,4466900
2024-03-07,54.42178295770086,54.64578054053373,54.05169821794838,54.27569580078125,2745800
2024-03-08,54.32438800709315,54.69447273135212,53.983522942085266,54.02248001098633,3290100
2024-03-11,53.60370347888032,54.43152080094424,53.447878910662965,54.15882873535156,3013000
2024-03-12,54.29517478504437,54.36334780146375,53.516051943715134,53.68161392211914,3223600
2024-03-13,53.798483321634755,54.11986985747365,53.60370168907904,53.83743667602539,4519600
2024-03-14,53.61343969980822,53.84717840452504,52.80510093109518,53.02909851074219,5194300
2024-03-15,52.512927990471425,53.223881533076224,52.464233509304854,52.990142822265625,8966900
2024-03-18,53.14596590056994,53.516050634327925,52.79535970176244,53.506309509277344,3178700
2024-03-19,53.55500868363829,53.8471792829375,53.438137471798015,53.798484802246094,3589200
2024-03-20,53.701088805636495,54.752907356265744,53.51604830438898,54.68473434448242,2352700
2024-03-21,55.0158660818469,55.85342081958325,54.918473404097945,55.785247802734375,3447300
2024-03-22,55.79498886253884,55.95081343160333,54.93795187510872,54.99638748168945,2769100
2024-03-25,55.08403847185157,55.59046924493074,54.94768872455466,55.06455993652344,2862900
2024-03-26,55.122995080240415,55.50282096882689,54.99639016586255,55.13273620605469,2607600
2024-03-27,55.41516576864727,55.73655231151852,54.986645424617976,55.44438171386719,3021700
2024-03-28,55.61968910141372,56.37933345687379,55.56125349132025,56.11637878417969,3116300
2024-04-01,55.96055072190176,56.01898632835729,55.2788168405236,55.47359848022461,2450000
2024-04-02,55.493075764211596,55.84368196473628,55.36646714398864,55.561248779296875,2766600
2024-04-03,55.512553867051786,56.2137662626417,55.512553867051786,56.155330657958984,3289600
2024-04-04,56.48646105020758,56.75915312160169,55.21064481661928,55.28855895996094,2465300
2024-04-05,55.16194570789799,55.473594824823365,54.60682048617777,55.25933837890625,3671100
2024-04-08,55.4833375336203,55.833943728959234,55.21064176216189,55.53203201293945,3564700
2024-04-09,55.746293496216545,55.92159288287395,54.88925652239356,55.70733642578125,2759800
2024-04-10,55.02560642929951,55.24960402735287,54.07118042731739,54.22700500488281,3432000
2024-04-11,54.13935096731228,54.265959591768066,53.253098026423395,53.92509078979492,3396500
2024-04-12,53.76926603718322,54.51917294080228,53.23361931035555,53.613441467285156,4933900
2024-04-15,54.353609559806024,54.60682308618274,53.14596638785758,53.65239715576172,6132700
2024-04-16,53.9250874190553,54.236736540426875,51.26632876258184,52.59083938598633,8232800
2024-04-17,52.72718829445387,53.545268211561144,52.67849381316847,53.03883743286133,4513900
2024-04-18,53.447880098942036,54.09065692152299,53.33100888381762,53.808223724365234,3473900
2024-04-19,53.97378726756393,54.93795438689884,53.97378726756393,54.82108688354492,4420700
2024-04-22,55.239864097330695,55.97029246794709,54.8503008136083,55.66838073730469,2936300
2024-04-23,55.648903757950286,56.3306376659553,55.60020927491084,55.94107437133789,2861400
2024-04-24,55.54177294882115,56.49619892164088,55.50281959198324,56.437767028808594,3226000
2024-04-25,56.212130635909496,56.59472569578279,55.682381902728,56.09440994262695,3254100
2024-04-26,56.16307977309339,56.60453704378198,55.996309105429546,56.23175048828125,2058000
2024-04-29,56.30042036334641,56.72225688879043,55.99630826984485,56.24156188964844,2638500
2024-04-30,56.10422200738526,56.21213420903427,55.38808181912882,55.41751480102539,3530000
2024-05-01,55.45675131604452,55.84915863296858,55.01529776234684,55.38808059692383,4054000
2024-05-02,55.83934549416155,56.08459912772819,55.240929771768656,55.525421142578125,3187600
2024-05-03,55.829536149763605,56.12383975713103,55.407699607036704,55.91782760620117,2214000
2024-05-06,56.40833457603004,56.50643453055726,55.89820657948705,56.38871383666992,2403000
2024-05-07,56.32985106671876,56.86941203815248,56.27099259148843,56.31023406982422,2820100
2024-05-08,56.14346135397299,56.65358936092775,56.03554915642651,56.41814422607422,2939800
2024-05-09,56.23175138219034,57.40896954198288,56.23175138219034,57.24219512939453,3793600
2024-05-10,57.42858999342459,57.624793642785576,57.22257784561856,57.33048629760742,3255500
2024-05-13,57.49725919568044,57.63460062393546,56.741877598004585,56.751686096191406,2144300
2024-05-14,56.800741593961526,57.34029882570337,56.712450138420245,57.24219512939453,2878900
