Date,Open,High,Low,Close,Volume
2024-02-26,132.9749300466026,134.96507544480187,132.40350156461508,132.5020294189453,2172600
2024-02-27,133.30990271963591,135.04389676940653,132.22617147176942,134.79759216308594,3131000
2024-02-28,134.31484436082195,136.26557284617084,134.23602507422058,135.5857696533203,2947300
2024-02-29,136.37393702047564,136.37393702047564,134.14734871951572,135.57591247558594,3643500
2024-03-01,135.6842913487976,135.87148526680687,133.93060364309116,134.7483367919922,2251800
2024-03-04,134.32466052756402,135.28032348914545,133.7926492557785,133.97984313964844,2589600
2024-03-05,132.61040377563597,137.88131324030215,132.61040377563597,135.52664184570312,3313700
2024-03-06,135.65472389870567,136.05866705067544,133.0833032734256,133.73355102539062,2182400
2024-03-07,134.48231548947294,136.13747523338807,134.33453873849487,135.6153106689453,1594000
2024-03-08,135.96012989373997,136.8665289557096,134.73845374939552,135.20150756835938,1960000
2024-03-11,134.9453796136669,136.5414287785413,133.95031433719748,136.41336059570312,2001100
2024-03-12,136.94536261515208,138.39363491884924,136.11778273682236,138.19659423828125,2262900
2024-03-13,138.39364044933674,139.08329037550462,137.71383729595664,138.5315704345703,1974800
2024-03-14,138.21627642383402,139.0537180389736,136.15717366963034,137.36898803710938,2248400
2024-03-15,135.07343228396505,137.84189324714137,133.3394384888315,133.5463409423828,4262000
2024-03-18,133.98969362721908,134.81727342105694,133.13255848597547,134.25570678710938,2799200
2024-03-19,134.55128847918897,135.8714775701403,134.23601136498198,134.8271484375,2282100
2024-03-20,134.44293036513494,139.7039938304949,133.8813485739348,139.6744384765625,2341000
2024-03-21,140.56111212603517,141.8616076744194,139.93057292982348,141.06356811523438,2401500
2024-03-22,141.18179195152786,141.54631792881605,138.9946060213207,139.07342529296875,1847400
2024-03-25,138.07836148086972,139.86161952559135,137.93058472481798,138.4724578857422,2376300
2024-03-26,138.8369723206462,139.83203747258776,138.58082095378467,138.74830627441406,1729900
2024-03-27,139.7236915521339,142.4330423624885,139.37885907206513,142.37391662597656,2593100
2024-03-28,143.44780136986452,147.07339777281192,142.85666433174774,146.6891632080078,4039500
2024-04-01,146.6497809067817,146.68918303246951,142.84683686515072,143.15225219726562,1638800
2024-04-02,142.36407193999526,142.7778619021987,141.00446561186888,142.27540588378906,1924700
2024-04-03,141.96998531855752,142.57096917718215,140.31481049757474,141.15225219726562,1949700
2024-04-04,144.5906653176979,145.03402568054327,139.9502944835419,140.02911376953125,2419100
2024-04-05,140.0093979142646,141.56604490687104,139.58574615324167,141.3985595703125,1567200
2024-04-08,141.65468783536608,143.09311318691906,141.40838325712497,141.79261779785156,1717300
2024-04-09,141.98968163465312,142.36406946533745,140.3936325177203,141.3985595703125,1354700
2024-04-10,139.07344295685473,139.47738613789176,136.10792573824338,137.87147521972656,3041300
2024-04-11,138.04879945216928,139.28032247050004,135.56605987114722,138.2655487060547,2153300
2024-04-12,136.13748111645825,137.59561527757484,135.82221902300117,137.5561981201172,2530400
2024-04-15,139.70397847067184,140.32465586825407,136.1079221274294,137.12269592285156,2862700
2024-04-16,136.25570842444077,136.5512769526024,134.23600768744953,134.39364624023438,2206300
2024-04-17,135.71384670077367,136.52173307676304,134.5020321700307,134.7483367919922,1762300
