Date,Open,High,Low,Close,Volume
2024-02-26,34.91744356015822,35.91646923357851,34.87864551265042,34.956241607666016,3679200
2024-02-27,35.22781836204066,35.538195322940865,35.1308269492538,35.49939727783203,2282700
2024-02-28,35.19872288753383,35.62549029843788,35.07263108659057,35.140525817871094,1681700
2024-02-29,35.61579283780109,36.11045498277705,35.28601684115532,35.8776741027832,4096700
2024-03-01,35.906767765665975,36.36263552559809,35.179321101936885,36.20744705200195,3972500
2024-03-04,36.42082816984278,36.750604132205574,35.59639011392829,35.76127624511719,3349800
2024-03-05,35.47029951203309,36.217145207663364,35.09299722982392,35.40240478515625,4582100
2024-03-06,35.01443368935526,35.20842021976423,34.296688336822974,34.97563934326172,4588800
2024-03-07,35.01443297288082,35.62548923617063,35.01443297288082,35.44120407104492,2730900
2024-03-08,35.83887410998598,36.68756190968125,35.73218133745523,36.304439544677734,4764100
2024-03-11,35.84857299557087,36.5663220443934,35.80007728821462,36.343238830566406,3203300
2024-03-12,36.382032789543125,37.15797889893228,36.25594469175486,36.973690032958984,4978700
2024-03-13,36.93489090669007,37.28406217073676,36.80879912523765,37.21616744995117,3381200
2024-03-14,37.584742550557934,37.764180717955156,36.372331500539936,36.459625244140625,4869900
2024-03-15,36.13955254116541,36.78940688848948,35.9164693174528,36.48872756958008,6807200
2024-03-18,36.4887232671515,36.87475750526254,36.2025960248182,36.83789825439453,2782400
2024-03-19,36.75060782453224,37.12887952819166,36.59541933841593,36.73120880126953,4225700
2024-03-20,36.702106817627424,38.79230224761347,36.65361111646473,38.7486572265625,3445500
2024-03-21,38.88445012782661,40.310246808712506,38.845652083452194,39.379112243652344,6351800
2024-03-22,39.088135668292246,39.35001692693658,38.050311995137974,38.1085090637207,2704700
2024-03-25,38.06971332593807,38.59347587497934,38.037704751277815,38.244300842285156,2200600
2024-03-26,38.409180315157,38.44797835648181,37.9339172588752,38.00181198120117,1533200
2024-03-27,38.37038704760676,38.63226828390059,38.200646537056805,38.61286926269531,2218300
