Date,Open,High,Low,Close,Volume
2024-02-26,140.22917445798927,141.7722799906035,139.58300324709876,139.69874572753906,1416200
2024-02-27,140.29667207118467,141.54078950790637,139.71800390015792,140.7595977783203,1206800
2024-02-28,140.03627059849873,142.48594918937343,140.03627059849873,140.50885009765625,1178400
2024-02-29,142.68847680554862,143.46002948719584,140.74030959552167,141.96514892578125,2726000
2024-03-01,142.2159378135461,142.8910410139281,140.11345674247522,142.55348205566406,1750200
2024-03-04,145.62038066162737,150.82833574586053,144.99348764102444,148.2725830078125,5796800
2024-03-05,147.8675401841371,151.7156357563486,147.4913954936514,149.603515625,2748500
2024-03-06,143.5179004741881,147.23098966076518,141.85906727710298,145.03207397460938,7478800
2024-03-07,146.03509500018114,147.790377959548,144.2798267569597,145.08995056152344,2112700
2024-03-08,146.2086802638215,146.3533399522758,144.84882032777767,144.9838409423828,1324300
2024-03-11,145.01278651573705,147.5589002849492,143.7011512578917,147.4045867919922,1882600
2024-03-12,147.5589158760438,148.2243800081074,144.97423081856655,145.61074829101562,1840300
2024-03-13,146.13154233073826,147.78072185592893,145.99652169875688,147.2888641357422,1893600
2024-03-14,146.3919206362051,148.9862591389496,142.04231402762005,143.20928955078125,2084500
2024-03-15,141.984433093534,144.84881249926747,141.984433093534,143.48895263671875,3969600
2024-03-18,144.04834544052844,144.66558467985,141.75298012110864,144.27981567382812,1316500
2024-03-19,144.00011478363626,145.57215211576988,143.8168693625724,144.77166748046875,2053000
2024-03-20,144.36661121489905,149.0441229475248,143.7686648418727,148.340087890625,1408200
2024-03-21,149.12128816792514,152.82473852337657,149.12128816792514,152.19784545898438,2656400
2024-03-22,152.57396804024629,153.15263626924565,149.96999044203784,149.97962951660156,1595500
2024-03-25,150.606516338422,151.5902316845421,148.9959079840536,149.52633666992188,1136600
2024-03-26,149.6227970620735,150.80905078034618,149.2370280416068,149.51670837402344,1179200
2024-03-27,150.4232722917373,154.406402664189,149.9796247015949,154.28102111816406,1712900
2024-03-28,154.29065958579037,156.47029708248385,154.19422469519517,155.85305786132812,1725300
2024-04-01,155.66017594442093,155.7951965791724,153.9917035186751,154.25210571289062,1397000
2024-04-02,153.3455084347091,153.70234547473098,151.86028168346337,151.9374237060547,1509200
2024-04-03,152.02424580191843,153.8566706588232,150.73188872496152,151.55166625976562,1388700
2024-04-04,153.26836406916038,153.6252011379893,150.56793686002243,151.30091857910156,1548200
2024-04-05,151.17552169992436,152.1013878294574,150.27860222344373,151.77346801757812,1874000
2024-04-08,152.56432931033822,155.73732135400599,151.9663829308606,155.23582458496094,1950000
2024-04-09,155.5251356323316,156.37384506690077,153.6830717876005,155.66015625,1306800
2024-04-10,153.24907588935292,153.24907588935292,148.64872071990092,149.51670837402344,1827100
2024-04-11,149.90246046007604,149.90246046007604,146.4112026559803,148.60047912597656,1361800
2024-04-12,146.30129473602344,148.08415176816771,145.83366473493814,146.74945068359375,1487000
2024-04-15,148.43486950330376,150.44179696170528,145.46344128619472,145.70700073242188,2159800
2024-04-16,143.3883126243104,144.18719475782373,139.82261356538527,142.76480102539062,3350300
2024-04-17,145.2198804464248,145.60958447606194,142.02438173184396,143.45651245117188,1897100
2024-04-18,143.56367228293428,145.27832533364423,143.10577936123147,144.08001708984375,1352900
2024-04-19,145.15170927343783,148.76612353775,144.83020898432514,148.37643432617188,2368900
2024-04-22,148.82457059040792,152.04931040390468,148.31797760497818,151.91290283203125,2212300
2024-04-23,152.46823217136702,154.28031526975658,151.8447205066357,153.5496368408203,2137000
2024-04-24,152.14669795604425,154.25105492995792,151.78623476849245,153.98800659179688,1320900
2024-04-25,153.31578785407487,153.92956238516248,150.47101544704176,152.2733612060547,1220300
2024-04-26,152.04930912144138,153.608080769577,151.3575937036877,152.08827209472656,979200
2024-04-29,152.10774330612074,153.1014550989508,151.47447985486312,151.76675415039062,1388100
2024-04-30,150.76329566159936,151.5134629106444,148.9999276675894,149.31167602539062,1632900
2024-05-01,149.2921961473612,152.68253930922512,148.9609440189074,150.01312255859375,1436600
2024-05-02,151.79599771911137,152.06878312909458,149.96442579577567,151.66934204101562,1172900
2024-05-03,153.30604972867025,154.1731207134104,152.09798959228556,152.19541931152344,1141500
2024-05-06,153.9295850210051,154.124429623843,151.98110926124556,152.4000244140625,1189200
2024-05-07,152.99429883775414,153.31579909829856,151.59140888131827,152.12722778320312,1092300
2024-05-08,151.2893777556771,153.83213894669896,151.05557020338279,153.15992736816406,1254400
